"","source","id","type","date","year","decade","lat","lon","COMMENTS","FS_UNIT_ID","OBJECTID","COMMON_NAM","SCIENTIFIC","TAXA_LEVEL","CLASS_NAME","TOTAL_DETE","GROUP_TYPE","LIFE_HISTO","LIFE_STAGE","REPRO_STAT","SURVEY_OBS","DATE_TIME_","DATE_TIME1","OBS_TYPE","OBS_METHOD","OBS_METH_1","OBS_METH_2","OBSERVER_N","DATA_ORIGI","SURVEY_YEA","PROTOCOL_N","REFERENCE","LOCAL_ID","FIELD_LOCA","FED_STATUS","FS_STATUS","NATURESERV","STATE_STAT","FED_STAT_1","FS_STATUS_","NATURESE_1","STATE_ST_1","LAST_UPDAT","LAST_UPD_1","BA_SOURCE","SOURCE_GEO","SOURCE_G_1","TSN","GIS_ACRES","GIS_MILES","TIME_INTER","DISTANCE_B","EXACT_DIST","FS_UNIT_NA","DATA_SOURC","OBS_CN","SURVEY_CN","CMN_VST_CN","SPATIAL_ID","SHAPE_AREA","SHAPE_LEN"
"11","NRM","NRM11","camera",2015-08-13,2015,"2010s",44.606005,-118.643179,"Date and time of observation unknown (pics discarded), it wasa somewhere between 8/13/15-8/27/15.",604,3382982,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","8/13/2015","N","Day",NA,NA,"Camera Set","The animal was detected by remotely triggered photography or videography.","TRAIL CAMERA, BMRD (Unknown)","Forest Service",0,NA,NA,"BM4072815 TrlCam",0,NA,NA,NA,NA,NA,NA,NA,NA,"3/24/2016",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"MALHEUR NATIONAL FOREST",2,"6307a7c9-6f67-4a9a-974a-696268940c1b",NA,"cc89a63b-6415-4ea9-869d-a4b69479ab5b","d3e7b36c-d5b8-4946-b6f6-95014f83a596",3.538e-08,0.00069437954
"12","NRM","NRM12","camera",2015-07-08,2015,"2010s",44.60791006,-118.6522091,NA,604,3383629,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Single",NA,NA,"Unknown","7/8/2015","N","Exact",NA,NA,"Camera Set","The animal was detected by remotely triggered photography or videography.","TRAIL CAMERA, BMRD (Unknown)","Forest Service",0,NA,NA,"BM3063015 TrlCam",0,NA,NA,NA,NA,NA,NA,NA,NA,"3/24/2016",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"MALHEUR NATIONAL FOREST",2,"18608926-82a6-4e25-bc0b-590385cb897a",NA,"054267ae-3c79-405a-b837-703cb615c2a6","4c8f66bf-74b1-4f43-aacf-914dca555bd8",3.539e-08,0.00069439493
"13","NRM","NRM13","other",1994-07-13,1994,"1990s",44.98458006,-122.00882,"Species Condition is Healthy;                       forest                                   roadOwner R06F06D05A; SiteID 74379 VisitNo 1;  Activity? ; Protocol Met? ;      Owner ;TRS: 7S 7E 6 Qtr16: SWSW;",606,3389336,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","7/13/1994","N","Day",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), LESLIE MEAD (Unknown)","Forest Service",0,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,"6/6/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"MT HOOD NATIONAL FOREST",NA,"FNAOBPT00578237498151684816863004146",NA,NA,"00000578237498151684816863004146",3.561e-08,0.00069735548
"14","NRM","NRM14","sighting",1991-06-26,1991,"1990s",42.25293452,-122.2992388,"Species Condition is Healthy; IdentMark is None; Owner R06F10D02A; SiteID 280 VisitNo 1;  Activity? Y; Protocol Met? ;  Habitat is Human Constructed (100);    Owner ;TRS: 38S 4E 24 Qtr16: NW;Remarks: 1 MILE IN ON 600 IN PARTIAL CUT",610,3402804,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","6/26/1991","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), TAYLOR/SEDA (Experienced)","Forest Service",0,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"ROGUE RIVER-SISKIYOU NATIONAL FORESTS",NA,"FNAOBPT00557900467790083955246000052",NA,NA,"00000557900467790083955246000052",3.405e-08,0.0006769938
"15","NRM","NRM15","other",1979-07-28,1979,"1970s",42.83814669,-124.0706544,"SAW IT AT NIGHT WALKING UP ROAD, CHASED IT DOWN OFF ROAD.Owner R06F11A; SiteID 50664 VisitNo 50664;  Activity? Y; Protocol Met? ;   Seral Stage is closed sapling/ pole/ sawtimber stand condition, 31-120 yrs;   Elev 1620 ft;Owner PVT;Remarks:",610,3408271,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","7/28/1979","N","Exact",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), TURNER (Unknown)","Non-Forest Service",0,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"ROGUE RIVER-SISKIYOU NATIONAL FORESTS",NA,"FNAOBPT00412600474320082483334012720",NA,NA,"00000412600474320082483334012720",3.437e-08,0.00068114585
"16","NRM","NRM16","other",1978-07-07,1978,"1970s",42.84943008,-124.0677896,"2 ALONG ROAD; NO DAY OR MONTH GIVENOwner R06F11A; SiteID 50666 VisitNo 50666;  Activity? Y; Protocol Met? ;      Owner PVT;Remarks:",610,3408437,"North American Porcupine","Erethizon dorsatum","Species","Mammals",2,"Unknown",NA,NA,"Unknown","7/7/1978","N","Day",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), H.PUFFENBARGER (Unknown)","Non-Forest Service",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"ROGUE RIVER-SISKIYOU NATIONAL FORESTS",NA,"FNAOBPT00412850474445082483334012722",NA,NA,"00000412850474445082483334012722",3.438e-08,0.0006812264
"17","NRM","NRM17","sign",2006-06-23,2006,"2000s",44.91930861,-119.7054894,"DXDS_CN: 14902 CMN_OBS_CN_LINK: obsTWI11262880170",614,3442374,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","6/23/2006","N","Exact",NA,NA,"Excrement","Evidence of the animal was found in the form of excrement; scat, regurgitated pellets, etc.","DENNY, MIKE (Experienced), DAVID, AARON (Unknown)","Forest Service",0,NA,NA,"1126288",0,NA,NA,NA,NA,NA,NA,NA,NA,"11/30/2011",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"UMATILLA NATIONAL FOREST",NA,"8dda02c8-628f-463e-b537-5c1e8649b614",NA,"0d6abd76-0e72-4aec-92ad-b1f8760d65e2","5565AA99699C00001E8F15AD8A0E58A2",3.557e-08,0.00069683771
"18","NRM","NRM18","sighting",1979-07-10,1979,"1970s",44.12236264,-122.2611798,"LARGE FAT ""PORKIE"" JUST WALKING ON THE RD  LARGE FAT ""PORKIE"" JUST WALKING ON THE RDOwner R06F18D01A; SiteID 558479 VisitNo 1;  Activity? Y; Protocol Met? ; Site Status is Active;     Owner ;TRS: 17S 5E 6 Qtr16: ;Remarks: REF NUM 32/1",618,4337971,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","7/10/1979","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), ALAN DOHMEN, R BUCKBERG (Unknown)","Forest Service",0,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,"2/24/2005",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"WILLAMETTE NATIONAL FOREST",NA,"FNAOBPT00559207488553081263879003172",NA,NA,"00000559207488553081263879003172",3.51e-08,0.00069065274
"19","NRM","NRM19","camera",2017-09-15,2017,"2010s",45.19974,-116.9128,"A first year subadult common porcupine. Near Mahagony Creek Wallowa County, Oregon.",616,4509579,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Single",NA,NA,"Non-Reproducing","9/15/2017","N","Day",NA,NA,"Image","The animal was identified by inspecting a photograph or video.","JOHNSON, PL (Experienced)","Forest Service",0,NA,NA,"North American porcupine Erethizon dorsatum",0,NA,NA,NA,NA,NA,NA,NA,NA,"1/9/2018",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"WALLOWA WHITMAN NATIONAL FOREST",0,"9ebaac55-9f47-4433-9c63-547ac6663e6f",NA,NA,"549aa2f8-aeae-4781-8746-c42215ae4664",3.575e-08,0.0006990683
"20","NRM","NRM20","sighting",1990-09-17,1990,"1990s",44.52509313,-120.5763404,"Species Condition is Healthy;  Owner R06F07D03A; SiteID 638 VisitNo 1;  Activity? Y; Protocol Met? ;      Owner USFS;Remarks:",607,3397888,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","9/17/1990","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), W.CARTER (Experienced)","Forest Service",0,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"OCHOCO NATIONAL FOREST",NA,"FNAOBPT00692689493285685423816000996",NA,NA,"00000692689493285685423816000996",3.534e-08,0.0006937509
"21","NRM","NRM21","carcass",2008-08-26,2008,"2000s",44.46734838,-121.1624282,NA,607,3398885,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Single",NA,NA,"Failed Reproduction","8/26/2008","N","Day",NA,NA,"Found Dead","The animal detected was found dead.","RHOADES, JODIE (Experienced)","Forest Service",0,NA,NA,"Guzzler #38",0,NA,NA,NA,NA,NA,NA,NA,NA,"9/8/2010",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"OCHOCO NATIONAL FOREST",NA,"6c929b80-f0f4-41cd-aa9e-210f3349f96b",NA,"af159b0b-c718-4267-8195-3eed80c86f35","42523c43-745b-40f6-b885-6d5a60472336",3.53e-08,0.00069330389
"22","NRM","NRM22","other",1978-10-10,1978,"1970s",42.80627381,-124.0603202,"NO DAY GIVENOwner R06F11A; SiteID 50667 VisitNo 50667;  Activity? Y; Protocol Met? ;  Habitat is Mixed Coniferous Forest (SW) (102); Seral Stage is closed sapling/ pole/ sawtimber stand condition, 31-120 yrs;   Elev 2178 ft;Owner PVT;Plan Area: PVD Acr",610,3409365,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","10/10/1978","N","Day",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), H.PUFFENBARGER (Unknown)","Non-Forest Service",0,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"ROGUE RIVER-SISKIYOU NATIONAL FORESTS",NA,"FNAOBPT00413400473965082483334012723",NA,NA,"00000413400473965082483334012723",3.435e-08,0.000680916
"23","NRM","NRM23","other",1990-08-31,1990,"1990s",42.12365069,-124.1952512,"OUTSIDE THE FOREST BOUNDRY.  WEST SIDE OF FIRST BRIDGE, JUST BEFORE FOREST BOUNDOwner R06F11A; SiteID 10190 VisitNo 10190;  Activity? Y; Protocol Met? ;  Habitat is Evergreen Hardwood (102) Seral Stage open sapling/pole stand condition,16-30 yrs shrub",610,3412801,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","8/31/1990","N","Exact",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), E.VORISEK (Unknown)","Non-Forest Service",0,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"ROGUE RIVER-SISKIYOU NATIONAL FORESTS",NA,"FNAOBPT00401300466400082483332002266",NA,NA,"00000401300466400082483332002266",3.398e-08,0.0006760917
"24","NRM","NRM24","sighting",2015-07-21,2015,"2010s",47.02379246,-121.1921214,NA,617,3460526,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Single",NA,NA,"Unknown","7/21/2015","N","Exact",NA,NA,"Visual","The animal was detected by seeing it.","MIDDLETON, KELSEY (Experienced)","Forest Service",0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"11/6/2015",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"OKANOGAN-WENATCHEE NATIONAL FORESTS",0,"2eea8bdb-470a-4c94-a185-6dc6794fc330",NA,NA,"4a9ab4e3-0690-4e7e-a163-f0893e88685a",3.693e-08,0.00071428369
"25","NRM","NRM25","sign",1994-04-05,1994,"1990s",43.61893032,-121.0175668,"View Scale at Data Entry 1:11168;
Scat near collapsed cave entrance.",601,3356237,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","4/5/1994","N","Day",NA,NA,"Excrement","Evidence of the animal was found in the form of excrement; scat, regurgitated pellets, etc.","(MIGRATED), LEONARD, K. (Experienced)","Forest Service",0,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"DESCHUTES NATIONAL FOREST",NA,"FNAOBPT43.6190121.016409102007886237",NA,NA,"00043061901210016409102007886237",3.481e-08,0.00068685903
"26","NRM","NRM26","other",1991-08-05,1991,"1990s",42.07987546,-124.1605776,"Owner R06F11A; SiteID 10482 VisitNo 10482;  Activity? Y; Protocol Met? ;  Habitat is Mixed Coniferous Forest (SW) (102); Seral Stage is Mature/Old Growth conditions, 200+ years;   Elev 1099 ft;Owner USFS;TRS: 40S 12W 19 Qtr16: NENE;Plan Area: R Acres R",610,3412632,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","8/5/1991","N","Exact",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), C.DILLINGHAM/D.BLUMENTHAL (Unknown)","Forest Service",0,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"ROGUE RIVER-SISKIYOU NATIONAL FORESTS",NA,"FNAOBPT00404100465910082483332002596",NA,NA,"00000404100465910082483332002596",3.396e-08,0.00067578744
"27","NRM","NRM27","camera",2015-08-10,2015,"2010s",44.606005,-118.643179,NA,604,4327558,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Single",NA,NA,"Unknown","8/10/2015","N","Exact",NA,NA,"Camera Set","The animal was detected by remotely triggered photography or videography.","TRAIL CAMERA, BMRD (Unknown)","Forest Service",0,NA,NA,"BM4072815 TrlCam",0,NA,NA,NA,NA,NA,NA,NA,NA,"3/24/2016",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"MALHEUR NATIONAL FOREST",2,"dcbb0196-91f2-42e4-8870-f7811f3319fd",NA,"64c99427-a2b9-495c-a6cf-a558ee0abb91","85985528-e274-4e93-87d1-9021b8206625",3.538e-08,0.00069437954
"28","NRM","NRM28","sighting",1994-05-06,1994,"1990s",45.82066755,-121.6468344,"WL XFER 394074 NONEOwner R06F03D03A; SiteID 1509 VisitNo 1; Visit Purpose is General Survey Visit; Activity? ; Protocol Met? ;   Seral stage is schrubs dominant 4-15 yr., Trees may be common <10 ft;   Elev 1580 ft;Owner USFS;TRS: 04N 09E 23 Qtr16: SWNW",603,3377280,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","5/6/1994","N","Exact",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), WL XFER 394074 CATHY FLICK (Experienced)","Forest Service",0,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,"7/16/2004",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"GIFFORD PINCHOT NATIONAL FOREST",NA,"FNAOBPT00605211507481484233137001314",NA,NA,"00000605211507481484233137001314",3.614e-08,0.0007041075
"29","NRM","NRM29","other",1972-05-19,1972,"1970s",45.10784766,-121.9793703,"Species Condition is Unknown;  Owner R06F06D05A; SiteID 73803 VisitNo 1;  Activity? ; Protocol Met? ;      Owner ;TRS: 5S 7E 29 Qtr16: ;",606,3389538,"North American Porcupine","Erethizon dorsatum","Species","Mammals",2,"Unknown",NA,NA,"Unknown","5/19/1972","N","Day",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), RD (Unknown)","Forest Service",0,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,"6/6/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"MT HOOD NATIONAL FOREST",NA,"FNAOBPT00580386499523984816863003793",NA,NA,"00000580386499523984816863003793",3.569e-08,0.00069833443
"30","NRM","NRM30","sighting",1989-05-08,1989,"1980s",44.23956209,-119.8569856,"RAN UP TREEOwner R06F07D02A; SiteID 1801 VisitNo 1; Visit Purpose is General Survey Visit; Activity? Y; Protocol Met? ; Site Status is Active;     Owner PVT;TRS: 15S 24E 28 Qtr16: NWSW;Remarks:",607,3396382,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","5/8/1989","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), S.CHRISTY (Experienced)","Non-Forest Service",0,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"OCHOCO NATIONAL FOREST",NA,"FNAOBPT00751069490308885423816002042",NA,NA,"00000751069490308885423816002042",3.517e-08,0.00069154961
